Date,Close,High,Low,Open,Volume
4/27/2001,14.48997688,14.68239196,14.30290579,14.56480491,2824000
4/30/2001,14.69842815,14.79463621,14.37773497,14.64497912,5778400
5/1/2001,14.84808254,14.93894558,14.49532041,14.56480343,4017200
5/2/2001,14.72515678,14.85343491,14.56481065,14.85343491,3582800
5/3/2001,14.377738,14.73050027,14.29756494,14.73050027,6436500
5/4/2001,14.33498001,14.35636004,14.11583983,14.12652984,6354700
5/7/2001,14.30825424,14.43653133,14.24411519,14.41515131,3380700
5/8/2001,14.19066429,14.40446043,14.16394028,14.31359738,4155100
5/9/2001,14.53808594,14.53808594,14.03032151,14.05704553,6109200
5/10/2001,14.3830843,14.54343043,14.3830843,14.53808644,5256700
5/11/2001,14.82670689,14.84808691,14.45790963,14.48997967,4851300
5/14/2001,14.83205032,14.91222336,14.62360021,14.69842825,6319700
5/15/2001,14.69842815,15.02446634,14.67170415,14.83205023,4320400
5/16/2001,14.80532551,14.95498157,14.64497842,14.75187648,4870500
5/17/2001,15.2329216,15.36654372,14.69843312,14.69843312,7799800
5/18/2001,15.92775536,15.9812044,15.24361079,15.2596448,8899900
5/21/2001,15.95982838,16.01862142,15.51085791,15.91172433,5809200
5/22/2001,16.30189514,16.5477593,16.14154904,16.40879322,6826700
5/23/2001,16.16292953,16.22172359,15.95447938,16.1148255,4142100
5/24/2001,16.44085884,16.44085884,16.09878668,16.11482068,2997300
5/25/2001,16.30723572,16.34999473,16.17895867,16.2912007,2056600
5/29/2001,16.43551826,16.45689829,16.20034308,16.31258618,2782100
5/30/2001,16.40345001,16.46758805,16.17361983,16.30189693,3601200
5/31/2001,16.1843071,16.39275722,15.94913195,16.07740902,5132400
6/1/2001,15.87964344,16.21637157,15.77809142,16.18430256,4096200
6/4/2001,15.62309265,15.82085377,15.54291961,15.79412874,3596600
6/5/2001,15.71930313,15.90102926,15.50016298,15.63913008,4723200
6/6/2001,15.87429714,16.27516322,15.82619313,16.08809218,5231300
6/7/2001,15.97585297,16.06671601,15.77809289,15.80481689,2525700
6/8/2001,15.74068356,16.03465176,15.45205933,15.85292563,2461900
6/11/2001,15.9865427,16.02930172,15.63378056,15.74067861,2642300
6/12/2001,15.9331007,16.06137781,15.75671955,15.85827264,3717600
6/13/2001,16.03464508,16.18964714,15.95447206,15.99188607,3222700
